state_country,activities,budget,destinationType,duration
"Tuscany, Italy","[""Historical Tours"", ""Art Museums"", ""Wine Tasting"", ""Food Tours""]",Medium,"[""Historical"", ""Educational""]",8-10 days
"Bangkok, Thailand","[""Food Tours"", ""Temple Visits"", ""Cultural Shows""]",Low,"[""Cultural"", ""Adventure""]",6-8 days
"Bavaria, Germany","[""Castle Tours"", ""Beer Tours"", ""Hiking"", ""Historical Tours""]",Medium,"[""Cultural"", ""Adventure""]",2-3 days
"California, USA","[""Wine Tasting"", ""Theme Parks""]",Low,"[""Adventure"", ""Sports""]",4-6 days
"Queensland, Australia","[""Wildlife Tours"", ""Snorkeling"", ""Beach""]",High,"[""Nature"", ""Photography""]",10-14 days
"Tuscany, Italy","[""Food Tours"", ""Historical Tours"", ""Wine Tasting"", ""Art Museums"", ""River Rafting""]",High,"[""Urban"", ""Shopping""]",8-10 days
"Bangkok, Thailand","[""Cultural Shows"", ""Shopping"", ""Temple Visits""]",Low,"[""Urban"", ""Shopping""]",6-8 days
"Tokyo, Japan","[""Temple Visits"", ""Cultural Shows"", ""Food Tours"", ""Shopping""]",Medium,"[""Beach"", ""Relaxation""]",2-3 days
"California, USA","[""Beach"", ""Theme Parks""]",Medium,"[""Cultural"", ""Historical""]",2-3 days
"Tuscany, Italy","[""Wine Tasting"", ""Food Tours""]",Medium,"[""Cultural"", ""Adventure""]",2-3 days
"Bali, Indonesia","[""Surfing"", ""Beach"", ""Temple Visits""]",Medium,"[""Urban"", ""Shopping""]",2-3 days
"Tuscany, Italy","[""Food Tours"", ""Historical Tours""]",Medium,"[""Adventure"", ""Sports""]",10-14 days
"Bali, Indonesia","[""Cultural Tours"", ""Temple Visits"", ""Beach""]",Low,"[""Adventure"", ""Sports""]",10-14 days
"Bangkok, Thailand","[""Food Tours"", ""Temple Visits"", ""Shopping"", ""Cultural Shows""]",Low,"[""Adventure"", ""Nature""]",6-8 days
"Colorado, USA","[""Hiking"", ""Rock Climbing"", ""Mountain Biking"", ""Skiing""]",Medium,"[""Cultural"", ""Historical""]",2-3 days
"New York, USA","[""Shopping"", ""Museums""]",Medium,"[""Cultural"", ""Adventure""]",10-14 days
"Bavaria, Germany","[""Historical Tours"", ""Castle Tours""]",High,"[""Urban"", ""Modern""]",4-6 days
"British Columbia, Canada","[""Kayaking"", ""Skiing""]",Low,"[""Historical"", ""Educational""]",8-10 days
"California, USA","[""Surfing"", ""Wine Tasting""]",Low,"[""Urban"", ""Shopping""]",2-3 days
"Tokyo, Japan","[""Shopping"", ""Temple Visits"", ""Cultural Shows""]",Medium,"[""Cultural"", ""Adventure""]",2-3 days
"Wyoming, USA","[""Hiking"", ""Wildlife Safari""]",High,"[""Historical"", ""Educational""]",2-3 days
"Queensland, Australia","[""Snorkeling"", ""Beach""]",High,"[""Cultural"", ""Historical""]",6-8 days
"British Columbia, Canada","[""Kayaking"", ""Skiing"", ""Wildlife Tours""]",High,"[""Adventure"", ""Beach""]",10-14 days
"Swiss Alps, Switzerland","[""Skiing"", ""Mountain Tours"", ""Photography""]",High,"[""Adventure"", ""Sports""]",6-8 days
"California, USA","[""Wine Tasting"", ""Theme Parks"", ""Surfing"", ""Beach"", ""Camping""]",High,"[""Historical"", ""Educational""]",8-10 days
"Queensland, Australia","[""Wildlife Tours"", ""Hiking"", ""Snorkeling""]",High,"[""Adventure"", ""Nature""]",10-14 days
"Tuscany, Italy","[""Art Museums"", ""Food Tours"", ""Wine Tasting"", ""Historical Tours""]",Low,"[""Adventure"", ""Sports""]",6-8 days
"Swiss Alps, Switzerland","[""Mountain Tours"", ""Hiking""]",Low,"[""Nature"", ""Photography""]",10-14 days
"Bavaria, Germany","[""Beer Tours"", ""Castle Tours"", ""Historical Tours"", ""Hiking""]",Medium,"[""Adventure"", ""Nature""]",6-8 days
"Paris, France","[""Historical Tours"", ""Shopping"", ""Museums""]",High,"[""Nature"", ""Photography""]",8-10 days
"Bali, Indonesia","[""Surfing"", ""Beach""]",Low,"[""Cultural"", ""Historical""]",8-10 days
"Bavaria, Germany","[""Hiking"", ""Beer Tours""]",Low,"[""Adventure"", ""Nature""]",4-6 days
"Tokyo, Japan","[""Shopping"", ""Cultural Shows"", ""Temple Visits"", ""Food Tours"", ""Castle Tours""]",Low,"[""Adventure"", ""Sports""]",4-6 days
"Queensland, Australia","[""Snorkeling"", ""Hiking""]",Low,"[""Adventure"", ""Sports""]",6-8 days
"California, USA","[""Wine Tasting"", ""Beach"", ""Surfing""]",High,"[""Nature"", ""Photography""]",10-14 days
"Queensland, Australia","[""Beach"", ""Snorkeling"", ""Wildlife Tours"", ""Hiking"", ""Mountain Biking""]",Medium,"[""Urban"", ""Modern""]",8-10 days
"Swiss Alps, Switzerland","[""Hiking"", ""Mountain Tours"", ""Skiing""]",High,"[""Cultural"", ""Historical""]",8-10 days
"Bavaria, Germany","[""Beer Tours"", ""Historical Tours"", ""Castle Tours""]",Low,"[""Urban"", ""Modern""]",4-6 days
"British Columbia, Canada","[""Wildlife Tours"", ""Kayaking"", ""Skiing"", ""Hiking"", ""Beach""]",High,"[""Adventure"", ""Nature""]",4-6 days
"Tuscany, Italy","[""Food Tours"", ""Wine Tasting""]",Medium,"[""Urban"", ""Shopping""]",10-14 days
"Tokyo, Japan","[""Food Tours"", ""Cultural Shows"", ""Temple Visits""]",Medium,"[""Cultural"", ""Food""]",4-6 days
"Bangkok, Thailand","[""Cultural Shows"", ""Temple Visits"", ""Shopping"", ""Food Tours"", ""Scuba Diving""]",Medium,"[""Historical"", ""Educational""]",6-8 days
"California, USA","[""Wine Tasting"", ""Theme Parks"", ""Beach"", ""Surfing"", ""Cooking Classes""]",Low,"[""Adventure"", ""Nature""]",4-6 days
"Swiss Alps, Switzerland","[""Mountain Tours"", ""Skiing""]",High,"[""Nature"", ""Photography""]",10-14 days
"Queensland, Australia","[""Wildlife Tours"", ""Hiking"", ""Beach""]",High,"[""Cultural"", ""Food""]",6-8 days
"Colorado, USA","[""Skiing"", ""Mountain Biking"", ""Hiking""]",Medium,"[""Beach"", ""Relaxation""]",6-8 days
"New York, USA","[""Food Tours"", ""Shopping"", ""Theater"", ""Museums"", ""Scuba Diving""]",High,"[""Adventure"", ""Nature""]",6-8 days
"British Columbia, Canada","[""Hiking"", ""Skiing"", ""Kayaking""]",Medium,"[""Adventure"", ""Beach""]",6-8 days
"Hawaii, USA","[""Snorkeling"", ""Volcano Tours"", ""Surfing"", ""Beach""]",Low,"[""Adventure"", ""Nature""]",2-3 days
"Paris, France","[""Food Tours"", ""Museums""]",Low,"[""Adventure"", ""Beach""]",6-8 days
"British Columbia, Canada","[""Wildlife Tours"", ""Kayaking"", ""Skiing"", ""Hiking"", ""Theater""]",High,"[""Adventure"", ""Beach""]",10-14 days
"Bangkok, Thailand","[""Temple Visits"", ""Food Tours"", ""Shopping""]",High,"[""Cultural"", ""Historical""]",2-3 days
"California, USA","[""Surfing"", ""Theme Parks"", ""Beach"", ""Wine Tasting""]",Medium,"[""Nature"", ""Photography""]",2-3 days
"British Columbia, Canada","[""Skiing"", ""Kayaking"", ""Wildlife Tours"", ""Hiking"", ""Water Parks""]",Medium,"[""Cultural"", ""Historical""]",2-3 days
"British Columbia, Canada","[""Skiing"", ""Kayaking"", ""Hiking"", ""Wildlife Tours""]",High,"[""Nature"", ""Relaxation""]",2-3 days
"Tuscany, Italy","[""Art Museums"", ""Historical Tours"", ""Wine Tasting"", ""Food Tours"", ""Photography""]",Low,"[""Cultural"", ""Food""]",6-8 days
"Queensland, Australia","[""Wildlife Tours"", ""Snorkeling"", ""Hiking"", ""Beach"", ""River Rafting""]",High,"[""Cultural"", ""Food""]",8-10 days
"British Columbia, Canada","[""Kayaking"", ""Skiing"", ""Wildlife Tours"", ""Hiking"", ""Camping""]",Medium,"[""Nature"", ""Photography""]",4-6 days
"Tokyo, Japan","[""Food Tours"", ""Cultural Shows"", ""Shopping""]",Medium,"[""Adventure"", ""Beach""]",10-14 days
"New York, USA","[""Theater"", ""Museums"", ""Shopping"", ""Food Tours"", ""Camping""]",Low,"[""Beach"", ""Relaxation""]",10-14 days
"Bangkok, Thailand","[""Shopping"", ""Cultural Shows"", ""Temple Visits""]",High,"[""Beach"", ""Relaxation""]",8-10 days
"Queensland, Australia","[""Snorkeling"", ""Hiking"", ""Beach"", ""Wildlife Tours""]",High,"[""Nature"", ""Relaxation""]",6-8 days
"New York, USA","[""Theater"", ""Food Tours"", ""Shopping"", ""Museums""]",High,"[""Cultural"", ""Adventure""]",6-8 days
"Paris, France","[""Food Tours"", ""Historical Tours"", ""Museums""]",High,"[""Adventure"", ""Sports""]",10-14 days
"Bangkok, Thailand","[""Shopping"", ""Cultural Shows"", ""Temple Visits"", ""Food Tours""]",Low,"[""Historical"", ""Educational""]",2-3 days
"Bangkok, Thailand","[""Cultural Shows"", ""Temple Visits"", ""Shopping"", ""Food Tours""]",Medium,"[""Historical"", ""Educational""]",4-6 days
"Bavaria, Germany","[""Hiking"", ""Historical Tours""]",Medium,"[""Nature"", ""Relaxation""]",2-3 days
"Swiss Alps, Switzerland","[""Hiking"", ""Photography"", ""Skiing""]",Medium,"[""Adventure"", ""Sports""]",8-10 days
"Bangkok, Thailand","[""Temple Visits"", ""Shopping""]",High,"[""Adventure"", ""Beach""]",8-10 days
"Bavaria, Germany","[""Castle Tours"", ""Hiking"", ""Historical Tours""]",High,"[""Adventure"", ""Beach""]",8-10 days
"Wyoming, USA","[""Hiking"", ""Photography"", ""Camping""]",Medium,"[""Historical"", ""Educational""]",6-8 days
"Swiss Alps, Switzerland","[""Photography"", ""Skiing"", ""Mountain Tours""]",Low,"[""Nature"", ""Relaxation""]",10-14 days
"Bavaria, Germany","[""Beer Tours"", ""Castle Tours"", ""Hiking"", ""Historical Tours""]",High,"[""Urban"", ""Shopping""]",8-10 days
"Bavaria, Germany","[""Beer Tours"", ""Hiking"", ""Castle Tours""]",High,"[""Historical"", ""Educational""]",6-8 days
"Paris, France","[""Shopping"", ""Museums"", ""Food Tours""]",High,"[""Historical"", ""Educational""]",2-3 days
"California, USA","[""Surfing"", ""Theme Parks"", ""Beach""]",Low,"[""Cultural"", ""Historical""]",10-14 days
"British Columbia, Canada","[""Wildlife Tours"", ""Skiing"", ""Hiking"", ""Kayaking""]",Medium,"[""Adventure"", ""Sports""]",8-10 days
"Wyoming, USA","[""Wildlife Safari"", ""Photography""]",High,"[""Cultural"", ""Historical""]",2-3 days
"Colorado, USA","[""Hiking"", ""Skiing"", ""Rock Climbing"", ""Mountain Biking"", ""Mountain Tours""]",Low,"[""Urban"", ""Modern""]",8-10 days
"Paris, France","[""Historical Tours"", ""Museums"", ""Food Tours""]",Low,"[""Cultural"", ""Food""]",8-10 days
"Tokyo, Japan","[""Food Tours"", ""Shopping"", ""Temple Visits""]",Medium,"[""Nature"", ""Relaxation""]",8-10 days
"Bali, Indonesia","[""Surfing"", ""Cultural Tours"", ""Temple Visits"", ""Beach"", ""Wildlife Tours""]",Low,"[""Adventure"", ""Nature""]",6-8 days
"Tuscany, Italy","[""Art Museums"", ""Wine Tasting""]",High,"[""Adventure"", ""Sports""]",6-8 days
"Tuscany, Italy","[""Art Museums"", ""Wine Tasting"", ""Food Tours""]",Low,"[""Urban"", ""Shopping""]",6-8 days
"Swiss Alps, Switzerland","[""Hiking"", ""Mountain Tours""]",High,"[""Nature"", ""Relaxation""]",4-6 days
"Bavaria, Germany","[""Historical Tours"", ""Beer Tours"", ""Castle Tours"", ""Hiking"", ""Snorkeling""]",Medium,"[""Urban"", ""Shopping""]",6-8 days
"Swiss Alps, Switzerland","[""Mountain Tours"", ""Hiking"", ""Photography""]",High,"[""Cultural"", ""Food""]",8-10 days
"Paris, France","[""Museums"", ""Historical Tours""]",Medium,"[""Cultural"", ""Adventure""]",10-14 days
"Tuscany, Italy","[""Wine Tasting"", ""Historical Tours""]",High,"[""Adventure"", ""Sports""]",10-14 days
"California, USA","[""Theme Parks"", ""Wine Tasting""]",High,"[""Urban"", ""Shopping""]",6-8 days
"Swiss Alps, Switzerland","[""Hiking"", ""Skiing"", ""Photography"", ""Mountain Tours"", ""Wildlife Safari""]",High,"[""Adventure"", ""Sports""]",8-10 days
"New York, USA","[""Shopping"", ""Food Tours""]",High,"[""Nature"", ""Relaxation""]",6-8 days
"Tuscany, Italy","[""Art Museums"", ""Historical Tours""]",Medium,"[""Cultural"", ""Food""]",10-14 days
"Swiss Alps, Switzerland","[""Mountain Tours"", ""Photography""]",High,"[""Cultural"", ""Historical""]",10-14 days
"New York, USA","[""Theater"", ""Shopping"", ""Museums""]",Medium,"[""Cultural"", ""Food""]",10-14 days
"Paris, France","[""Museums"", ""Shopping"", ""Historical Tours""]",Medium,"[""Cultural"", ""Adventure""]",10-14 days
"Paris, France","[""Museums"", ""Shopping""]",Low,"[""Cultural"", ""Food""]",2-3 days
"Queensland, Australia","[""Snorkeling"", ""Beach"", ""Hiking"", ""Wildlife Tours""]",Medium,"[""Cultural"", ""Adventure""]",6-8 days
"California, USA","[""Beach"", ""Surfing""]",Medium,"[""Adventure"", ""Sports""]",4-6 days
"Hawaii, USA","[""Beach"", ""Snorkeling"", ""Volcano Tours"", ""Surfing""]",Medium,"[""Urban"", ""Modern""]",8-10 days
"Swiss Alps, Switzerland","[""Skiing"", ""Mountain Tours"", ""Hiking"", ""Photography""]",Low,"[""Urban"", ""Modern""]",6-8 days
"Bali, Indonesia","[""Temple Visits"", ""Cultural Tours"", ""Surfing""]",High,"[""Adventure"", ""Nature""]",4-6 days
"Swiss Alps, Switzerland","[""Hiking"", ""Mountain Tours"", ""Skiing"", ""Photography""]",Low,"[""Cultural"", ""Food""]",6-8 days
"Bali, Indonesia","[""Cultural Tours"", ""Surfing""]",Medium,"[""Cultural"", ""Historical""]",4-6 days
"Wyoming, USA","[""Hiking"", ""Camping"", ""Photography"", ""Wildlife Safari""]",Medium,"[""Adventure"", ""Sports""]",8-10 days
"Bavaria, Germany","[""Castle Tours"", ""Beer Tours"", ""Hiking""]",Medium,"[""Adventure"", ""Nature""]",8-10 days
"Tuscany, Italy","[""Food Tours"", ""Wine Tasting"", ""Art Museums"", ""Historical Tours"", ""Photography""]",High,"[""Nature"", ""Relaxation""]",10-14 days
"Tokyo, Japan","[""Temple Visits"", ""Shopping"", ""Food Tours"", ""Cultural Shows"", ""Snorkeling""]",Low,"[""Cultural"", ""Food""]",10-14 days
"Paris, France","[""Food Tours"", ""Shopping"", ""Historical Tours"", ""Museums""]",Low,"[""Urban"", ""Shopping""]",10-14 days
"Bali, Indonesia","[""Beach"", ""Temple Visits""]",High,"[""Adventure"", ""Nature""]",2-3 days
"California, USA","[""Beach"", ""Surfing"", ""Wine Tasting"", ""Theme Parks""]",Medium,"[""Cultural"", ""Historical""]",8-10 days
"New York, USA","[""Museums"", ""Theater""]",High,"[""Adventure"", ""Nature""]",8-10 days
"Bavaria, Germany","[""Castle Tours"", ""Historical Tours"", ""Hiking""]",Low,"[""Nature"", ""Photography""]",4-6 days
"Hawaii, USA","[""Snorkeling"", ""Beach""]",High,"[""Urban"", ""Modern""]",6-8 days
"British Columbia, Canada","[""Skiing"", ""Kayaking"", ""Hiking"", ""Wildlife Tours"", ""Museums""]",Medium,"[""Urban"", ""Modern""]",2-3 days
"Bali, Indonesia","[""Surfing"", ""Cultural Tours""]",Low,"[""Beach"", ""Relaxation""]",2-3 days
"Bali, Indonesia","[""Temple Visits"", ""Surfing"", ""Cultural Tours"", ""Beach"", ""Cultural Shows""]",Low,"[""Adventure"", ""Beach""]",6-8 days
"Bangkok, Thailand","[""Temple Visits"", ""Shopping"", ""Food Tours"", ""Cultural Shows""]",High,"[""Adventure"", ""Nature""]",8-10 days
"Bangkok, Thailand","[""Temple Visits"", ""Food Tours"", ""Cultural Shows""]",Low,"[""Beach"", ""Relaxation""]",4-6 days
"Dubai, UAE","[""Desert Safari"", ""Shopping""]",Low,"[""Cultural"", ""Adventure""]",6-8 days
"Bangkok, Thailand","[""Temple Visits"", ""Food Tours"", ""Cultural Shows""]",Medium,"[""Beach"", ""Relaxation""]",8-10 days
"Wyoming, USA","[""Photography"", ""Wildlife Safari"", ""Hiking"", ""Camping""]",Low,"[""Urban"", ""Shopping""]",10-14 days
"Tuscany, Italy","[""Food Tours"", ""Art Museums""]",High,"[""Historical"", ""Educational""]",10-14 days
"New York, USA","[""Museums"", ""Theater"", ""Shopping"", ""Food Tours""]",Low,"[""Urban"", ""Shopping""]",8-10 days
"Tokyo, Japan","[""Shopping"", ""Cultural Shows"", ""Food Tours"", ""Temple Visits"", ""Kayaking""]",Low,"[""Adventure"", ""Beach""]",8-10 days
"Bali, Indonesia","[""Temple Visits"", ""Surfing"", ""Beach"", ""Cultural Tours""]",High,"[""Adventure"", ""Nature""]",2-3 days
"Tokyo, Japan","[""Temple Visits"", ""Shopping""]",Low,"[""Adventure"", ""Beach""]",8-10 days
"Swiss Alps, Switzerland","[""Photography"", ""Mountain Tours"", ""Hiking"", ""Skiing"", ""Snorkeling""]",High,"[""Nature"", ""Relaxation""]",2-3 days
"Bali, Indonesia","[""Beach"", ""Cultural Tours"", ""Surfing"", ""Temple Visits"", ""Zip Lining""]",High,"[""Cultural"", ""Adventure""]",2-3 days
"Tuscany, Italy","[""Food Tours"", ""Wine Tasting"", ""Art Museums""]",High,"[""Urban"", ""Shopping""]",2-3 days
"Swiss Alps, Switzerland","[""Photography"", ""Hiking""]",Low,"[""Adventure"", ""Sports""]",4-6 days
"Queensland, Australia","[""Beach"", ""Wildlife Tours"", ""Snorkeling"", ""Hiking""]",Low,"[""Beach"", ""Relaxation""]",2-3 days
"New York, USA","[""Theater"", ""Food Tours"", ""Museums"", ""Shopping""]",Medium,"[""Cultural"", ""Adventure""]",10-14 days
"Dubai, UAE","[""Shopping"", ""Water Parks"", ""Desert Safari""]",High,"[""Nature"", ""Photography""]",6-8 days
"Swiss Alps, Switzerland","[""Hiking"", ""Skiing"", ""Photography"", ""Mountain Tours""]",Medium,"[""Adventure"", ""Nature""]",8-10 days
"Swiss Alps, Switzerland","[""Photography"", ""Skiing"", ""Mountain Tours""]",Medium,"[""Urban"", ""Modern""]",6-8 days
"New York, USA","[""Theater"", ""Museums"", ""Shopping""]",High,"[""Adventure"", ""Nature""]",8-10 days
"Hawaii, USA","[""Snorkeling"", ""Beach"", ""Surfing"", ""Volcano Tours"", ""Architecture Tours""]",Medium,"[""Urban"", ""Modern""]",6-8 days
"Colorado, USA","[""Skiing"", ""Mountain Biking"", ""Rock Climbing"", ""Hiking""]",High,"[""Nature"", ""Photography""]",4-6 days
"Bali, Indonesia","[""Temple Visits"", ""Beach""]",High,"[""Beach"", ""Relaxation""]",10-14 days
"New York, USA","[""Theater"", ""Museums"", ""Food Tours"", ""Shopping"", ""Wildlife Tours""]",Medium,"[""Nature"", ""Relaxation""]",2-3 days
"New York, USA","[""Theater"", ""Shopping"", ""Museums""]",High,"[""Cultural"", ""Historical""]",2-3 days
"Swiss Alps, Switzerland","[""Hiking"", ""Skiing"", ""Mountain Tours"", ""Photography""]",High,"[""Urban"", ""Shopping""]",8-10 days
"Colorado, USA","[""Mountain Biking"", ""Hiking""]",Medium,"[""Historical"", ""Educational""]",10-14 days
"Paris, France","[""Historical Tours"", ""Museums"", ""Shopping""]",Medium,"[""Urban"", ""Modern""]",8-10 days
"Colorado, USA","[""Skiing"", ""Hiking"", ""Mountain Biking"", ""Rock Climbing""]",High,"[""Beach"", ""Relaxation""]",2-3 days
"Hawaii, USA","[""Volcano Tours"", ""Beach""]",Low,"[""Urban"", ""Shopping""]",6-8 days
"Wyoming, USA","[""Hiking"", ""Camping"", ""Wildlife Safari""]",Low,"[""Urban"", ""Modern""]",6-8 days
"Tokyo, Japan","[""Shopping"", ""Cultural Shows"", ""Food Tours"", ""Temple Visits""]",High,"[""Adventure"", ""Sports""]",2-3 days
"California, USA","[""Beach"", ""Wine Tasting""]",High,"[""Cultural"", ""Food""]",8-10 days
"Swiss Alps, Switzerland","[""Skiing"", ""Hiking""]",Low,"[""Adventure"", ""Nature""]",4-6 days
"Swiss Alps, Switzerland","[""Mountain Tours"", ""Hiking"", ""Skiing"", ""Photography""]",Medium,"[""Adventure"", ""Sports""]",6-8 days
"New York, USA","[""Theater"", ""Shopping"", ""Museums"", ""Food Tours"", ""Mountain Biking""]",High,"[""Nature"", ""Relaxation""]",6-8 days
"Colorado, USA","[""Skiing"", ""Hiking""]",High,"[""Cultural"", ""Food""]",6-8 days
"Tuscany, Italy","[""Historical Tours"", ""Wine Tasting""]",Medium,"[""Cultural"", ""Adventure""]",10-14 days
"Dubai, UAE","[""Water Parks"", ""Shopping"", ""Architecture Tours"", ""Desert Safari"", ""River Rafting""]",Medium,"[""Nature"", ""Photography""]",4-6 days
"Bali, Indonesia","[""Cultural Tours"", ""Temple Visits"", ""Surfing"", ""Beach""]",Low,"[""Historical"", ""Educational""]",2-3 days
"Hawaii, USA","[""Snorkeling"", ""Beach"", ""Volcano Tours""]",Medium,"[""Nature"", ""Relaxation""]",6-8 days
"Paris, France","[""Museums"", ""Food Tours"", ""Historical Tours""]",Medium,"[""Cultural"", ""Food""]",4-6 days
"California, USA","[""Wine Tasting"", ""Theme Parks"", ""Surfing""]",Medium,"[""Adventure"", ""Beach""]",4-6 days
"Bali, Indonesia","[""Temple Visits"", ""Beach"", ""Surfing""]",Medium,"[""Urban"", ""Shopping""]",6-8 days
"British Columbia, Canada","[""Hiking"", ""Kayaking"", ""Wildlife Tours"", ""Skiing""]",High,"[""Cultural"", ""Food""]",8-10 days
"Queensland, Australia","[""Wildlife Tours"", ""Hiking"", ""Snorkeling""]",Low,"[""Adventure"", ""Nature""]",6-8 days
"British Columbia, Canada","[""Kayaking"", ""Wildlife Tours"", ""Skiing"", ""Hiking"", ""Cooking Classes""]",Low,"[""Cultural"", ""Food""]",10-14 days
"California, USA","[""Theme Parks"", ""Wine Tasting"", ""Surfing"", ""Beach""]",High,"[""Nature"", ""Relaxation""]",4-6 days
"California, USA","[""Beach"", ""Theme Parks"", ""Wine Tasting"", ""Surfing""]",Low,"[""Cultural"", ""Food""]",10-14 days
"Hawaii, USA","[""Volcano Tours"", ""Beach"", ""Snorkeling"", ""Surfing"", ""Scuba Diving""]",Low,"[""Nature"", ""Photography""]",2-3 days
"Dubai, UAE","[""Water Parks"", ""Shopping"", ""Desert Safari""]",Low,"[""Cultural"", ""Historical""]",4-6 days
"British Columbia, Canada","[""Skiing"", ""Hiking"", ""Wildlife Tours"", ""Kayaking"", ""Museums""]",Low,"[""Cultural"", ""Historical""]",10-14 days
"Hawaii, USA","[""Snorkeling"", ""Beach"", ""Surfing""]",Medium,"[""Adventure"", ""Sports""]",2-3 days
"Paris, France","[""Historical Tours"", ""Shopping"", ""Food Tours"", ""Museums""]",High,"[""Cultural"", ""Food""]",8-10 days
"Tokyo, Japan","[""Food Tours"", ""Shopping"", ""Temple Visits"", ""Cultural Shows"", ""Zip Lining""]",High,"[""Cultural"", ""Historical""]",6-8 days
"Colorado, USA","[""Mountain Biking"", ""Hiking"", ""Rock Climbing""]",Medium,"[""Urban"", ""Modern""]",6-8 days
"Tokyo, Japan","[""Shopping"", ""Food Tours""]",Low,"[""Adventure"", ""Nature""]",2-3 days
"Tokyo, Japan","[""Cultural Shows"", ""Food Tours"", ""Shopping"", ""Temple Visits"", ""Wine Tasting""]",Medium,"[""Nature"", ""Photography""]",6-8 days
"Hawaii, USA","[""Surfing"", ""Volcano Tours""]",Medium,"[""Cultural"", ""Adventure""]",2-3 days
"New York, USA","[""Museums"", ""Food Tours"", ""Shopping"", ""Theater""]",Medium,"[""Historical"", ""Educational""]",6-8 days
"Hawaii, USA","[""Volcano Tours"", ""Snorkeling"", ""Surfing"", ""Beach"", ""Nightlife""]",High,"[""Cultural"", ""Historical""]",2-3 days
"British Columbia, Canada","[""Kayaking"", ""Skiing"", ""Wildlife Tours""]",High,"[""Beach"", ""Relaxation""]",8-10 days
"Bali, Indonesia","[""Surfing"", ""Temple Visits"", ""Cultural Tours"", ""Beach""]",Medium,"[""Nature"", ""Relaxation""]",2-3 days
"Dubai, UAE","[""Water Parks"", ""Desert Safari"", ""Architecture Tours"", ""Shopping""]",Low,"[""Historical"", ""Educational""]",8-10 days
"Hawaii, USA","[""Beach"", ""Snorkeling"", ""Volcano Tours"", ""Surfing""]",Medium,"[""Urban"", ""Shopping""]",10-14 days
"Tokyo, Japan","[""Cultural Shows"", ""Food Tours"", ""Shopping""]",Medium,"[""Historical"", ""Educational""]",4-6 days
"Colorado, USA","[""Mountain Biking"", ""Skiing"", ""Hiking"", ""Rock Climbing""]",Medium,"[""Urban"", ""Modern""]",10-14 days
"Tuscany, Italy","[""Food Tours"", ""Wine Tasting"", ""Historical Tours"", ""Art Museums"", ""Kayaking""]",Medium,"[""Cultural"", ""Historical""]",2-3 days
"New York, USA","[""Shopping"", ""Theater"", ""Museums"", ""Food Tours""]",Medium,"[""Nature"", ""Relaxation""]",8-10 days
"Bavaria, Germany","[""Hiking"", ""Castle Tours"", ""Historical Tours"", ""Beer Tours""]",Medium,"[""Historical"", ""Educational""]",6-8 days
"Colorado, USA","[""Rock Climbing"", ""Skiing"", ""Mountain Biking""]",Medium,"[""Adventure"", ""Beach""]",8-10 days
"California, USA","[""Beach"", ""Surfing""]",High,"[""Urban"", ""Shopping""]",8-10 days
"New York, USA","[""Food Tours"", ""Theater"", ""Museums"", ""Shopping"", ""Zip Lining""]",Medium,"[""Cultural"", ""Historical""]",6-8 days
"Paris, France","[""Museums"", ""Historical Tours"", ""Shopping"", ""Food Tours"", ""Mountain Biking""]",Medium,"[""Urban"", ""Modern""]",10-14 days
"Wyoming, USA","[""Wildlife Safari"", ""Photography"", ""Camping""]",Low,"[""Cultural"", ""Historical""]",2-3 days
"Queensland, Australia","[""Beach"", ""Hiking""]",Low,"[""Urban"", ""Shopping""]",2-3 days
"New York, USA","[""Food Tours"", ""Theater""]",Low,"[""Nature"", ""Relaxation""]",8-10 days
"Paris, France","[""Food Tours"", ""Museums"", ""Shopping"", ""Historical Tours"", ""Hiking""]",High,"[""Cultural"", ""Adventure""]",2-3 days
"California, USA","[""Surfing"", ""Wine Tasting"", ""Theme Parks""]",High,"[""Adventure"", ""Beach""]",10-14 days
"Hawaii, USA","[""Snorkeling"", ""Surfing"", ""Beach""]",Medium,"[""Adventure"", ""Sports""]",2-3 days
"California, USA","[""Beach"", ""Theme Parks""]",Low,"[""Historical"", ""Educational""]",10-14 days
"Wyoming, USA","[""Hiking"", ""Camping"", ""Wildlife Safari""]",Medium,"[""Cultural"", ""Food""]",10-14 days
"Dubai, UAE","[""Architecture Tours"", ""Shopping"", ""Desert Safari"", ""Water Parks""]",High,"[""Nature"", ""Relaxation""]",4-6 days
"Dubai, UAE","[""Water Parks"", ""Shopping"", ""Desert Safari"", ""Architecture Tours""]",High,"[""Adventure"", ""Sports""]",2-3 days
"Hawaii, USA","[""Volcano Tours"", ""Snorkeling""]",High,"[""Cultural"", ""Food""]",2-3 days
"Hawaii, USA","[""Surfing"", ""Snorkeling"", ""Volcano Tours""]",Medium,"[""Cultural"", ""Adventure""]",2-3 days
"Bali, Indonesia","[""Temple Visits"", ""Surfing"", ""Cultural Tours""]",Medium,"[""Nature"", ""Relaxation""]",2-3 days
"New York, USA","[""Museums"", ""Food Tours""]",High,"[""Adventure"", ""Nature""]",8-10 days
"Bavaria, Germany","[""Beer Tours"", ""Hiking"", ""Historical Tours"", ""Castle Tours""]",High,"[""Cultural"", ""Food""]",8-10 days
"Bavaria, Germany","[""Historical Tours"", ""Beer Tours"", ""Hiking"", ""Castle Tours"", ""Beach""]",High,"[""Nature"", ""Relaxation""]",4-6 days
